REVIEW_ID|||SENTENCE|||ASPECT|||SENTIMENT|||SENTIMENT_SCORE
17|||Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife.|||power case|||best|||2.0
18|||Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety.|||version|||surprisingly|||1.0
18|||Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety.|||version|||well|||1.0
18|||Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety.|||variety|||expensive|||-2.0
18|||Excellent value.|||value|||excellent|||3.0
19|||I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 70 ma.Griffin was charging with 40 ma!|||griffin|||against|||-2.0
19|||I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last.|||idea|||cheap|||-2.0
19|||I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last.|||current.no idea|||cheap|||-2.0
20|||It worked great for the first couple of weeks then it just stopped completely.|||couple|||great|||3.0
21|||I love that it has two ports for my phone and ipod.|||port|||love|||3.0
21|||Sleek and convenient to store and I just love it.|||store|||love|||3.0
24|||They are nothing special for sure, but it's nice that you can tell when it is powered up by the led that glows in it.|||nothing|||special|||2.0
24|||able to charge two phones at once in the car which is nice.|||car|||nice|||2.0
25|||Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone.|||nothing|||frustrating|||-3.0
25|||Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone.|||way|||frustrating|||-3.0
25|||This one works well for any of my products.|||product|||well|||1.0
26|||It works great and so far it has lasted for about 3 months.|||month|||great|||3.0
27|||I am disappointed that the 1A didn't work with my iPad.|||1a|||disappointed|||-2.0
27|||That's what I get for buying a cheap adapter.|||adapter|||cheap|||-2.0
28|||This is a nice charger but you can tell it was made cheaply in China.|||charger|||nice|||2.0
28|||This is a nice charger but you can tell it was made cheaply in China.|||charger|||cheaply|||-2.0
28|||When it is charging the phone, the car radio gets LOTS of static.|||lot|||static|||-2.0
30|||Great buy if you ask me|||buy|||great|||3.0
31|||This is a terribly awesome product in my Subaru's console.|||product|||awesome|||3.0
31|||Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.|||passenger|||love|||3.0
31|||Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.|||glow|||love|||3.0
31|||Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.|||glow|||abuse|||-4.0
31|||Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.|||year|||abuse|||-4.0
33|||When you connect two cables, one side stop working and also overheated burning the fuses.|||stop|||burning|||-2.0
33|||When you connect two cables, one side stop working and also overheated burning the fuses.|||side stop|||burning|||-2.0
33|||Cheap and bad quality.|||quality|||bad|||-2.0
34|||it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone|||thing|||great|||3.0
35|||It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job|||price|||good|||2.0
35|||It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job|||price|||good|||2.0
35|||It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job|||time|||good|||2.0
35|||It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job|||time|||good|||2.0
35|||It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job|||job|||good|||2.0
36|||Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last.|||piece|||cheap|||-2.0
37|||excellent product, works great , have easy handling, and good quality as it is announced.|||product|||excellent|||4.0
37|||excellent product, works great , have easy handling, and good quality as it is announced.|||product|||great|||3.0
37|||excellent product, works great , have easy handling, and good quality as it is announced.|||handling|||easy|||1.0
37|||excellent product, works great , have easy handling, and good quality as it is announced.|||handling|||good|||2.0
37|||excellent product, works great , have easy handling, and good quality as it is announced.|||quality|||good|||2.0
37|||reached as is shown time and in very good condition thank you very much for everything|||time|||good|||2.0
37|||reached as is shown time and in very good condition thank you very much for everything|||condition|||good|||2.0
37|||reached as is shown time and in very good condition thank you very much for everything|||condition|||thank|||2.0
37|||reached as is shown time and in very good condition thank you very much for everything|||everything|||thank|||2.0
39|||great charger for 2 devices and i haven't had any problems so far 3yrs now|||charger|||great|||3.0
40|||Pros: Loved it work just fine!!|||pro|||loved|||4.0
40|||Cool Blue light feature when you plug it into the lighter!!|||feature|||cool|||2.0
40|||Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%|||piece|||easily|||1.0
40|||Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%|||overtime|||easily|||1.0
42|||I needed a stronger charge for that but this is still great for both iphoe and ipod together.|||charge|||stronger|||1.0
42|||I needed a stronger charge for that but this is still great for both iphoe and ipod together.|||charge|||great|||3.0
42|||I needed a stronger charge for that but this is still great for both iphoe and ipod together.|||iphoe|||great|||3.0
43|||The blue led light is a nice touch in the car.|||light|||nice|||2.0
43|||The blue led light is a nice touch in the car.|||touch|||nice|||2.0
43|||Nice low profile too.|||profile|||low|||-2.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||work|||great|||3.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||ipad|||great|||3.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||charge ipad|||great|||3.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||smartphone|||well|||1.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||speaker|||well|||1.0
44|||works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets.|||bluetooth speaker|||well|||1.0
45|||The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.|||slot|||lower|||1.0
45|||The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.|||amps.-fit|||lower|||1.0
45|||The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.|||amps.-fit|||well|||1.0
45|||The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.|||socket|||well|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||socket.-work|||well|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||slot|||well|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||light|||ready|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||led light|||ready|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||charge.-the|||ready|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||socket|||well|||1.0
45|||I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.|||cables.-pretty|||well|||1.0
45|||Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.|||months.i|||enjoyed|||3.0
45|||Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.|||charger|||enjoyed|||3.0
45|||It rapidly charged my iPhone and worked well with charging the phones of my family and friends.|||phone|||well|||1.0
45|||It was less than a week later that is quit working permanently.|||week|||quit|||-2.0
45|||I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.|||problem|||sure|||-1.0
45|||I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.|||problem|||faulty|||-2.0
45|||I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.|||wiring|||faulty|||-2.0
45|||I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.|||wiring|||bad|||-2.0
45|||I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.|||design|||bad|||-2.0
45|||Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.|||period|||cheap|||-2.0
46|||This charger works great and is short, unlike most chargers.|||charger|||great|||3.0
46|||This charger works great and is short, unlike most chargers.|||charger|||great|||3.0
46|||It does a great job with charging both my phone and my GPS when I am in the car.|||job|||great|||3.0
46|||Great value and easy on the wallet.|||value|||great|||3.0
46|||Great value and easy on the wallet.|||value|||easy|||1.0
46|||Great value and easy on the wallet.|||wallet|||easy|||1.0
47|||Pulled it out and the product smelled burnt.|||product|||burnt|||-2.0
47|||Be careful... this one could be fire hazard or could potentially destroy the electrical system|||hazard|||destroy|||-3.0
47|||Be careful... this one could be fire hazard or could potentially destroy the electrical system|||fire hazard|||destroy|||-3.0
47|||Be careful... this one could be fire hazard or could potentially destroy the electrical system|||system|||destroy|||-3.0
48|||Pair this with an extra or spare cord and you are good to go!|||cord|||good|||2.0
49|||I love the way it can charge 2 devices at once!|||way|||love|||3.0
49|||Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!|||battery|||dying|||-2.0
51|||It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D).|||iphone|||good|||2.0
51|||It is a good deal because It is not easy to find something like this for this price|||deal|||good|||2.0
51|||It is a good deal because It is not easy to find something like this for this price|||deal|||easy|||-1.0
51|||It is a good deal because It is not easy to find something like this for this price|||something|||easy|||-1.0
52|||I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They're great.|||factory|||great|||3.0
52|||Also with every other USB device I've needed to charge.The LED light that indicates you are plugged in correctly is very helpful.These are great for rental cars and travel.|||light|||helpful.these|||2.0
52|||Also with every other USB device I've needed to charge.The LED light that indicates you are plugged in correctly is very helpful.These are great for rental cars and travel.|||car|||great|||3.0
52|||I'm totally pleased with these clever little gems.|||gem|||clever|||1.0
52|||I wouldn't be without a couple, especially for travel.Hope this is helpful.|||travel.hope|||helpful|||2.0
53|||good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer|||product|||good|||2.0
53|||good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer|||product|||low|||-2.0
53|||good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer|||charger|||low|||-2.0
53|||good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer|||charger|||love|||3.0
53|||good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer|||shipping|||love|||3.0
54|||It works well, but the bright blue light can be annoying when driving at night.|||light|||well|||1.0
54|||It works well, but the bright blue light can be annoying when driving at night.|||light|||annoying|||-3.0
54|||It works well, but the bright blue light can be annoying when driving at night.|||night|||annoying|||-3.0
54|||Overall, a very good deal.|||deal|||good|||2.0
55|||I love this case!|||case|||love|||3.0
55|||It's so pretty.And I love the way the case feels to the touch because of the rubber.|||way|||love|||3.0
56|||The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything.|||design|||sweet|||2.0
56|||The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything.|||idea|||sweet|||2.0
56|||It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.|||effect|||cool|||2.0
56|||It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.|||3d effect|||cool|||2.0
56|||It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.|||off.it|||pretty|||3.0
57|||I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.|||order|||worried|||-4.0
57|||But alas, it came a day earlier than expected, and the beautiful pink product expected!|||day|||alas|||-2.0
57|||But alas, it came a day earlier than expected, and the beautiful pink product expected!|||day|||beautiful|||3.0
57|||But alas, it came a day earlier than expected, and the beautiful pink product expected!|||product|||beautiful|||3.0
57|||The "rubberized" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!|||design|||gorgeous|||3.0
57|||The "rubberized" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!|||3d|||gorgeous|||3.0
58|||Another pretty phone case that I really love.|||case|||pretty|||3.0
58|||Another pretty phone case that I really love.|||phone case|||pretty|||3.0
58|||Another pretty phone case that I really love.|||case|||love|||3.0
58|||Another pretty phone case that I really love.|||phone case|||love|||3.0
58|||I have many as I love t o change them around .|||o|||love|||3.0
58|||I have many as I love t o change them around .|||t o|||love|||3.0
59|||It's still a very pretty case- it fit my phone perfectly.|||case|||pretty|||3.0
59|||It's still a very pretty case- it fit my phone perfectly.|||phone|||perfectly|||2.0
61|||This is a great case... It fit my phone perfectly and I still use it from time to time.|||case|||great|||3.0
61|||This is a great case... It fit my phone perfectly and I still use it from time to time.|||phone|||perfectly|||2.0
61|||This is a great case... It fit my phone perfectly and I still use it from time to time.|||time|||perfectly|||2.0
62|||It was an excellent buy!|||buy|||excellent|||4.0
62|||I would recommend this to anyone wanting a "good look" for their phone.|||anyone|||good|||2.0
62|||I would recommend this to anyone wanting a "good look" for their phone.|||look|||good|||2.0
63|||I like that I can order covers for little money and snazzy up my phone.|||cover|||like|||2.0
64|||I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots.|||case|||loved|||4.0
64|||Guess sometimes a good deal is not really a good deal.would not purchase.|||deal|||good|||2.0
64|||Guess sometimes a good deal is not really a good deal.would not purchase.|||deal|||good|||2.0
64|||Guess sometimes a good deal is not really a good deal.would not purchase.|||deal.would|||good|||2.0
65|||The color is more dark in person, and this isnt the best protection case.|||color|||dark|||-1.0
65|||The color is more dark in person, and this isnt the best protection case.|||person|||dark|||-1.0
65|||The color is more dark in person, and this isnt the best protection case.|||isnt|||best|||2.0
65|||The color is more dark in person, and this isnt the best protection case.|||case|||best|||2.0
65|||The color is more dark in person, and this isnt the best protection case.|||protection case|||best|||2.0
65|||I get a lot of compliments on the case, and it was easy to put on.|||case|||easy|||1.0
66|||Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.|||way|||great|||3.0
66|||Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.|||wife|||liked|||3.0
66|||Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.|||phone.my wife|||liked|||3.0
66|||Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.|||ability|||liked|||3.0
67|||The case is pretty good.|||case|||pretty|||3.0
68|||This case is afordable and yes it peels very easy but thats to be expected because its a dollor.|||case|||easy|||1.0
68|||This case is afordable and yes it peels very easy but thats to be expected because its a dollor.|||that|||easy|||1.0
68|||It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for.|||fine|||drop|||-2.0
68|||It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for.|||phone|||drop|||-2.0
68|||It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for.|||phone|||fine|||3.0
68|||It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for.|||case|||fine|||3.0
68|||It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for.|||case|||surely|||1.0
68|||it looks great but its for show not for protection.|||show|||great|||3.0
69|||This is one of my favorite cases I have this one on my phone I really love the color a lot.|||case|||favorite|||2.0
69|||This is one of my favorite cases I have this one on my phone I really love the color a lot.|||phone|||love|||3.0
69|||This is one of my favorite cases I have this one on my phone I really love the color a lot.|||color|||love|||3.0
70|||It was broken when it got to be the paint job was horrible.I would never get it again|||job|||broken|||-2.0
70|||It was broken when it got to be the paint job was horrible.I would never get it again|||paint job|||broken|||-2.0
71|||This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.|||skin|||loved|||4.0
71|||This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.|||case|||loved|||4.0
71|||This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.|||pink|||favorite|||2.0
71|||This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.|||color|||favorite|||2.0
72|||Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes.|||picture|||cute|||2.0
72|||Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes.|||case|||love|||3.0
73|||Very nice actually considering how cheap the price was.|||price|||cheap|||-2.0
73|||It's a pink/purple with black leopard spots and has a very nice feel to it.|||spot|||nice|||2.0
73|||It's a pink/purple with black leopard spots and has a very nice feel to it.|||leopard spot|||nice|||2.0
73|||It's a pink/purple with black leopard spots and has a very nice feel to it.|||feel|||nice|||2.0
73|||I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers.|||trouble|||hopefully|||1.0
74|||This case was by far the best case I bought for this phone.|||case|||best|||2.0
74|||This case was by far the best case I bought for this phone.|||case|||best|||2.0
75|||This is the cutest case EVER!|||case|||cutest|||2.0
76|||my daughter liked it for a few days and then i didnt see it anymore on the phone.|||daughter|||liked|||3.0
76|||my daughter liked it for a few days and then i didnt see it anymore on the phone.|||day|||liked|||3.0
77|||very good charger, it woks fine, no complaints!!!|||charger|||good|||2.0
77|||very good charger, it woks fine, no complaints!!!|||charger|||fine|||3.0
77|||very good charger, it woks fine, no complaints!!!|||complaint|||fine|||3.0
78|||This product arrived when promised and in the condition promised.|||product|||promised|||2.0
78|||This product arrived when promised and in the condition promised.|||condition|||promised|||2.0
78|||This product arrived when promised and in the condition promised.|||condition|||promised|||2.0
78|||It was brand new and worked perfectly.|||brand|||perfectly|||2.0
79|||Great product.|||product|||great|||3.0
80|||Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go.|||model|||loved|||4.0
80|||Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go.|||road|||worrying|||4.0
80|||Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.|||phone|||pretty|||3.0
80|||Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.|||end phone|||pretty|||3.0
80|||Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.|||patient|||well|||1.0
81|||I've had this charger well over a year now, and it still works perfectly.|||charger|||well|||1.0
81|||I've had this charger well over a year now, and it still works perfectly.|||year|||well|||1.0
81|||I've had this charger well over a year now, and it still works perfectly.|||year|||perfectly|||2.0
81|||Most chargers would have broken by now.|||charger|||broken|||-2.0
83|||So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower.|||charger|||pretty|||3.0
83|||So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower.|||year|||good|||2.0
84|||Another very good phone charger that does the job and has a  very affordable price that anyone can afford  to buy it.|||charger|||good|||2.0
84|||Another very good phone charger that does the job and has a  very affordable price that anyone can afford  to buy it.|||phone charger|||good|||2.0
85|||For the low price having an extra USB charger this works great.|||price|||low|||-2.0
85|||For the low price having an extra USB charger this works great.|||charger|||great|||3.0
86|||I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger.|||store|||crappy|||-3.0
86|||I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger.|||convenience store|||crappy|||-3.0
86|||I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger.|||charger|||crappy|||-3.0
86|||For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed.|||length|||perfect|||2.0
86|||For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed.|||cord length|||perfect|||2.0
86|||For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed.|||bed|||perfect|||2.0
86|||I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about.|||phone|||struggle|||-2.0
86|||I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about.|||plug|||blocky|||-2.0
86|||I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about.|||nothing|||blocky|||-2.0
86|||I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about.|||nothing|||worry|||-4.0
86|||The connecter doesn't like to stay in place 100% of the time.|||connecter|||like|||-2.0
86|||The connecter doesn't like to stay in place 100% of the time.|||place|||like|||-2.0
86|||My phone is also old and the port is a little worn.|||port|||worn|||-2.0
86|||That could be my issue.If you need a good charger for a cheap price.|||issue.if|||good|||2.0
86|||That could be my issue.If you need a good charger for a cheap price.|||charger|||good|||2.0
86|||That could be my issue.If you need a good charger for a cheap price.|||charger|||cheap|||-2.0
86|||That could be my issue.If you need a good charger for a cheap price.|||price|||cheap|||-2.0
87|||Bought as a spare charger for the house and turned into my main charger because my other one failed.|||charger|||failed|||-3.0
87|||Nice long cable and has held up for tons of charges for my Galaxy S3.|||cable|||nice|||2.0
89|||This Charger is awesome!|||charger|||awesome|||3.0
89|||Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things!|||kinda|||skeptical|||-2.0
89|||Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things!|||s|||skeptical|||-2.0
89|||but I figured what the heck its cheap, so what can I loose!|||heck|||cheap|||-2.0
89|||Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!!|||today|||well|||1.0
89|||So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!|||cord|||great|||3.0
89|||So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!|||price|||great|||3.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||reviewer|||sure|||-1.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||reviewer|||poor|||-2.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||charger|||poor|||-2.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||quality charger|||poor|||-2.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||week|||strong|||1.0
89|||update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!|||!!|||strong|||1.0
91|||This charger woks wonderfully on the Samsung Galaxy S4.|||wok|||wonderfully|||3.0
91|||This charger woks wonderfully on the Samsung Galaxy S4.|||charger wok|||wonderfully|||3.0
91|||This charger woks wonderfully on the Samsung Galaxy S4.|||s4|||wonderfully|||3.0
91|||it chargers the phone fast and the price is great!|||price|||great|||3.0
